date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:05:21	129/129	---M--	200	added ('OK')	text/plain	date:Thu,%2001%20Aug%202019%2018:22:44%20GMT	https://magicecraft7.webnode.hu/robots.txt		(from )
22:05:21	25066/25066	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20May%202021%2020:05:22%20GMT	https://magicecraft7.webnode.hu/	D:/hack2/mg/mg/magicecraft7.webnode.hu/index.html	(from )
22:05:21	494637/494637	---M-Z	200	added ('OK')	text/css	etag:%229ef12fb5ca5726fd27b2ac3c8b440138%22	https://d1di2lzuh97fh2.cloudfront.net/files/0i/0ix/0ixcod.css?ph=f3462831c3	D:/hack2/mg/mg/d1di2lzuh97fh2.cloudfront.net/files/0i/0ix/0ixcoddbc2.css	(from https://magicecraft7.webnode.hu/)
22:05:22	50085/50085	---M-Z	200	added ('OK')	text/css	etag:%22dfad694d2cea784b6104f56ee99e2439%22	https://d1di2lzuh97fh2.cloudfront.net/files/13/13z/13zcv4.css?ph=f3462831c3	D:/hack2/mg/mg/d1di2lzuh97fh2.cloudfront.net/files/13/13z/13zcv4dbc2.css	(from https://magicecraft7.webnode.hu/)
22:05:22	565318/565318	---M-Z	200	added ('OK')	text/css	etag:%228970a8f3077a372a1d70fc21b11164ea%22	https://d1di2lzuh97fh2.cloudfront.net/files/23/233/2338ms.css?ph=f3462831c3	D:/hack2/mg/mg/d1di2lzuh97fh2.cloudfront.net/files/23/233/2338msdbc2.css	(from https://magicecraft7.webnode.hu/)
22:05:22	924/924	---M-Z	200	added ('OK')	text/css	etag:%2258212ae28eae0e5a725405ba147f48c7%22	https://d1di2lzuh97fh2.cloudfront.net/files/3q/3qw/3qwf53.css?ph=f3462831c3	D:/hack2/mg/mg/d1di2lzuh97fh2.cloudfront.net/files/3q/3qw/3qwf53dbc2.css	(from https://magicecraft7.webnode.hu/)
22:05:22	67427/67427	---M-Z	200	added ('OK')	text/css	etag:%223ce4e4dcff4fa6f1f34f3d8cf3d05e47%22	https://d1di2lzuh97fh2.cloudfront.net/files/1o/1og/1ogsp1.css?ph=f3462831c3	D:/hack2/mg/mg/d1di2lzuh97fh2.cloudfront.net/files/1o/1og/1ogsp1dbc2.css	(from https://magicecraft7.webnode.hu/)
22:05:23	29280/29280	---M-Z	200	added ('OK')	text/css	date:Sun,%2016%20May%202021%2020:05:24%20GMT	https://use.typekit.net/njp4uhl.css	D:/hack2/mg/mg/use.typekit.net/njp4uhl.css	(from https://magicecraft7.webnode.hu/)
22:05:23	490317/490317	---M--	200	added ('OK')	image/png	etag:%225d432cf5-77b4d%22	https://magicecraft7.webnode.hu/_files/200000016-8f0a69006c/700/2019-08-01_20.17.51.png	D:/hack2/mg/mg/magicecraft7.webnode.hu/_files/200000016-8f0a69006c/700/2019-08-01_20.17.51.png	(from https://magicecraft7.webnode.hu/)
22:05:25	49153/49153	---MC-	200	added ('OK')	text/javascript	date:Fri,%2009%20Apr%202021%2023:59:54%20GMT	http://www.google-analytics.com/analytics.js	D:/hack2/mg/mg/www.google-analytics.com/analytics.js	(from https://magicecraft7.webnode.hu/)
22:05:25	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2016%20May%202021%2020:05:25%20GMT	https://magicecraft7.webnode.hu/wnd_header.set	D:/hack2/mg/mg/magicecraft7.webnode.hu/wnd_header.set	(from https://magicecraft7.webnode.hu/)
